ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
6581,Agus Gunawan,Financial Engineering,2016,Quantitative Analyst,Shopee,"Data Science, Stochastic Calculus, Financial Modeling",Portfolio Optimization Algorithm,"FRM (Financial Risk Manager), CQF (Quantitative Finance)",puma_financial_engineering | debate_club | pufa_business,alumni jurusan financial engineering berkarir sebagai quantitative analyst di shopee  ahli dalam data science  stochastic calculus  financial modeling
6582,Bayu Utama,Accounting,2021,Financial Controller,Unilever,"MYOB, Risk Management, Cost Accounting",Annual Financial Audit,ACCA - Foundational Level,puma_accounting,karir di bidang financial controller dengan latar belakang pendidikan accounting dan aktif di puma accounting
6583,Vina Utama,Accounting,2017,Internal Auditor,Bank Mandiri,"Data Analysis for Accounting, Audit, Taxation",Internal Control Review,CPA (Certified Public Accountant),pufa_business,alumni jurusan accounting berkarir sebagai internal auditor di bank mandiri  ahli dalam data analysis for accounting  audit  taxation
6584,Vina Nugroho,Chemical Engineering,2017,Process Engineer,Astra International,"Process Control, Aspen HYSYS, Process Simulation",Waste Minimization Protocol,Chemical Engineering Thermodynamics,pufa_engineering | moot_court | puma_chemical_engineering,seorang process engineer lulusan chemical engineering dengan pengalaman di astra international dan sertifikasi chemical engineering thermodynamics
6585,Indah Sihombing,Creative Media,2022,Digital Content Specialist,Ruangguru,"Adobe Premiere Pro, Cinematography, Scriptwriting",Corporate Documentary,Avid Media Composer,pufa_social_science_and_education | pusc | debate_club,karir di bidang digital content specialist dengan latar belakang pendidikan creative media dan aktif di pufa social science and education   pusc   debate club
6586,Joko Wibowo,International Relations,2019,Political Risk Consultant,Shopee,"Geopolitics, International Law, Negotiation",Political Risk Assessment Report,"TOEFL/IELTS/Foreign Lang Cert, Project Management for Development (PMD Pro)",puma_international_relations,alumni jurusan international relations berkarir sebagai political risk consultant di shopee  ahli dalam geopolitics  international law  negotiation
6587,Nisa Hakim,Civil Engineering,2016,Quantity Surveyor,Shopee,"Project Management, Construction Safety, Structural Analysis",Foundation Stability Analysis,LEED Green Associate,puma_civil_engineering,alumni jurusan civil engineering berkarir sebagai quantity surveyor di shopee  ahli dalam project management  construction safety  structural analysis
6588,Nisa Rahman,Marketing,2016,Brand Manager,Edelman,"Data Visualization, Social Media Marketing, Consumer Behavior",Omni-channel Marketing Strategy,Meta Certified Digital Marketing Associate,pufa_business | debate_club,seorang brand manager lulusan marketing dengan pengalaman di edelman dan sertifikasi meta certified digital marketing associate
6589,Siti Rahman,Communication,2022,Journalist,Mayora,"Digital Marketing, Crisis Management, Storytelling",Internal Communication Audit,Google Digital Garage,pufa_social_science_and_education | aiesec | puma_communication,alumni jurusan communication berkarir sebagai journalist di mayora  ahli dalam digital marketing  crisis management  storytelling
6590,Dewi Manullang,International Relations,2023,Diplomat,Djarum,"Cross-Cultural Communication, Negotiation, Public Policy",UN Model Simulation,"Project Management for Development (PMD Pro), International Law and Diplomacy",pufa_social_science_and_education,seorang diplomat lulusan international relations dengan pengalaman di djarum dan sertifikasi project management for development  pmd pro   international law and diplomacy
6591,Eko Lestari,Mechanical Engineering,2018,Project Manager,Ogilvy Indonesia,"Finite Element Analysis, SolidWorks, Prototyping",Product Design Optimization,SolidWorks Professional,pufa_engineering | fpci | pumun,karir di bidang project manager dengan latar belakang pendidikan mechanical engineering dan aktif di pufa engineering   fpci   pumun
6592,Imam Nugroho,Management,2017,Training and Development Officer,Telkomsel,"Employee Relations, Performance Management, Recruiting",Employee Engagement Survey,"LinkedIn Recruiter Certification, Lean Six Sigma Yellow Belt",debate_club | pufa_business,alumni jurusan management berkarir sebagai training and development officer di telkomsel  ahli dalam employee relations  performance management  recruiting
6593,Budi Nugroho,Visual Communication Design,2015,Art Director,Djarum,"User Research, Visual Branding, Illustration",Marketing Visual Assets,Typography Masterclass,puma_visual_communication_design,profesional visual communication design dengan spesialisasi user research  visual branding  illustration dan pengalaman proyek marketing visual assets
6594,Agus Firdaus,Management,2018,Talent Acquisition Specialist,Robert Walters,"Payroll Administration, Change Management, HRIS",Employee Engagement Survey,"Talent Management Practitioner, SHRM-CP (Certified Professional)",pufa_business | accounting_club | pumun,seorang talent acquisition specialist lulusan management dengan pengalaman di robert walters dan sertifikasi talent management practitioner  shrm cp  certified professional
6595,Imam Saputra,Business Administration,2022,Market Researcher,Ruangguru,"Entrepreneurship, Business Strategy, Financial Analysis",Startup Business Plan,FMVA (Financial Modeling),accounting_club | fpci | debate_club,karir di bidang market researcher dengan latar belakang pendidikan business administration dan aktif di accounting club   fpci   debate club
6596,Cahya Rahman,Chemical Engineering,2021,Process Engineer,Google Indonesia,"Material Science, Aspen HYSYS, Chemical Kinetics",Pilot Plant Design,HSE Certificate,pufa_engineering | puma_chemical_engineering | accounting_club,karir di bidang process engineer dengan latar belakang pendidikan chemical engineering dan aktif di pufa engineering   puma chemical engineering   accounting club
6597,Joko Mahendra,Visual Communication Design,2022,Web Designer,Shopee,"User Research, Wireframing, Visual Branding",Corporate Identity Manual,Adobe Certified Professional (ACP),puma_visual_communication_design | fpci | pusc,profesional visual communication design dengan spesialisasi user research  wireframing  visual branding dan pengalaman proyek corporate identity manual
6598,Budi Rahman,Accounting,2020,Cost Accountant,KPMG,"IFRS, Risk Management, Data Analysis for Accounting",Annual Financial Audit,Data Analytics for Accounting Certificate,pufa_business,seorang cost accountant lulusan accounting dengan pengalaman di kpmg dan sertifikasi data analytics for accounting certificate
6599,Dewi Sihombing,Financial Engineering,2016,Data Analyst (Finance),PwC,"Financial Modeling, Stochastic Calculus, Data Science",Cryptocurrency Market Analysis,FRM (Financial Risk Manager),puma_financial_engineering | debate_club | accounting_club,alumni jurusan financial engineering berkarir sebagai data analyst  finance  di pwc  ahli dalam financial modeling  stochastic calculus  data science
6600,Siti Anggraini,Marketing,2017,Digital Marketing Specialist,Gojek Marketing,"SEO/SEM, Google Analytics, A/B Testing",Market Segmentation Study,HubSpot Inbound Marketing,puma_marketing | aiesec | pudc,profesional marketing dengan spesialisasi seo sem  google analytics  a b testing dan pengalaman proyek market segmentation study
6601,Tia Firdaus,Management,2020,HR Business Partner,JobStreet,"Performance Management, Talent Management, Recruiting",Recruitment Strategy Optimization,Certified Associate in Project Management (CAPM),pufa_business | moot_court | puma_management,profesional management dengan spesialisasi performance management  talent management  recruiting dan pengalaman proyek recruitment strategy optimization
6602,Hani Utama,Law,2017,Notary Public,Corporate Legal Dept (Unilever),"Corporate Governance, Compliance, Dispute Resolution",Mock Trial Preparation,Certified Paralegal (CP),accounting_club | fpci | puma_law,karir di bidang notary public dengan latar belakang pendidikan law dan aktif di accounting club   fpci   puma law
6603,Citra Saputra,Accounting,2015,Tax Specialist,Deloitte,"IFRS, Audit, Cost Accounting",Tax Planning Compliance,"CPA (Certified Public Accountant), Tax Brevet A & B",pusc | puma_accounting | aiesec,karir di bidang tax specialist dengan latar belakang pendidikan accounting dan aktif di pusc   puma accounting   aiesec
6604,Siti Mahendra,Environmental Engineering,2019,Water Quality Engineer,Schneider Electric,"EIA (Environmental Impact Assessment), GIS, Compliance",Waste-to-Energy Feasibility Study,"OSHA 30-Hour General Industry, GIS Fundamentals",pumun,profesional environmental engineering dengan spesialisasi eia  environmental impact assessment   gis  compliance dan pengalaman proyek waste to energy feasibility study
6605,Lina Utama,Primary School Teacher Education,2021,Special Education Teacher,Ruangguru,"Child Psychology, Pedagogy, Teaching Methods",Digital Learning Module Creation,"Educational Leadership Certificate, Google Certified Educator",pufa_social_science_and_education | pudc,profesional primary school teacher education dengan spesialisasi child psychology  pedagogy  teaching methods dan pengalaman proyek digital learning module creation
6606,Yoga Gunawan,Visual Communication Design,2023,Art Director,Shopee,"Adobe Creative Suite, Illustration, Typography",Design Thinking Workshop,Google UX Design,pufa_social_science_and_education,alumni jurusan visual communication design berkarir sebagai art director di shopee  ahli dalam adobe creative suite  illustration  typography
6607,Budi Suteja,Financial Engineering,2017,Algorithmic Developer,Tokopedia,"Data Science, Stochastic Calculus, Machine Learning",Cryptocurrency Market Analysis,"CQF (Quantitative Finance), FMVA (Financial Modeling)",puma_financial_engineering | purtc,alumni jurusan financial engineering berkarir sebagai algorithmic developer di tokopedia  ahli dalam data science  stochastic calculus  machine learning
6608,Hani Wibowo,Management,2018,Recruitment Manager,Gojek People Team,"Strategic Planning, Employee Relations, Performance Management",Recruitment Strategy Optimization,PHR (Professional in Human Resources),puma_management | pufa_business | moot_court,karir di bidang recruitment manager dengan latar belakang pendidikan management dan aktif di puma management   pufa business   moot court
6609,Yoga Utama,Actuarial Science,2023,Actuary Trainee,Unilever,"R Programming, Risk Modeling, Financial Math",Time Series Forecasting,"SOA Exam FM (Financial Mathematics), SOA Exam P (Probability)",puma_actuarial_science | aiesec,seorang actuary trainee lulusan actuarial science dengan pengalaman di unilever dan sertifikasi soa exam fm  financial mathematics   soa exam p  probability
6610,Vina Hakim,Electrical Engineering,2019,Power System Engineer,Pertamina,"PLC Programming, Circuit Design, SCADA",Renewable Energy Integration,"CompTIA IoT+, PLC Programming Fundamentals",pudc | pumun,karir di bidang power system engineer dengan latar belakang pendidikan electrical engineering dan aktif di pudc   pumun
6611,Putri Hakim,Civil Engineering,2021,Structural Engineer,Google Indonesia,"AutoCAD Civil 3D, Estimation, Project Management",Road Infrastructure Planning,"Revit Structure Fundamentals, CAPM (Project Management)",moot_court | accounting_club | pudc,karir di bidang structural engineer dengan latar belakang pendidikan civil engineering dan aktif di moot court   accounting club   pudc
6612,Budi Hakim,Environmental Engineering,2019,Enviromental Planner,Telkomsel,"Water Treatment, GIS, EIA (Environmental Impact Assessment)",Site Contamination Assessment,"OSHA 30-Hour General Industry, HSE Training Certificate",pudc,karir di bidang enviromental planner dengan latar belakang pendidikan environmental engineering dan aktif di pudc
6613,Agus Saputra,Communication,2021,Brand Strategist,Unilever,"SEO, Content Strategy, Crisis Management",Social Media Engagement Analysis,"HubSpot Content Marketing, Google Ads Creative Certification",pufa_social_science_and_education | pusc,karir di bidang brand strategist dengan latar belakang pendidikan communication dan aktif di pufa social science and education   pusc
6614,Budi Anggraini,Visual Communication Design,2017,UX/UI Designer,Djarum,"Illustration, Visual Branding, User Research",Corporate Identity Manual,"Typography Masterclass, Google UX Design",debate_club | purtc | pufa_social_science_and_education,karir di bidang ux ui designer dengan latar belakang pendidikan visual communication design dan aktif di debate club   purtc   pufa social science and education
6615,Citra Permana,Civil Engineering,2018,Structural Engineer,Tokopedia,"AutoCAD Civil 3D, Structural Analysis, BIM (Revit)",Foundation Stability Analysis,"Revit Structure Fundamentals, OSHA 30-Hour Construction",pufa_engineering | accounting_club | aiesec,karir di bidang structural engineer dengan latar belakang pendidikan civil engineering dan aktif di pufa engineering   accounting club   aiesec
6616,Citra Gunawan,Mechanical Engineering,2021,Maintenance Engineer,Pertamina,"CATIA, Hydraulics, Finite Element Analysis",3D Printing Prototype,"OSHA 30-Hour Training, Project Management Professional (PMP)",pufa_engineering | fpci,karir di bidang maintenance engineer dengan latar belakang pendidikan mechanical engineering dan aktif di pufa engineering   fpci
6617,Nisa Permana,Law,2018,Corporate Lawyer,Makes & Partners,"Compliance, Contract Drafting, Dispute Resolution",Regulatory Compliance Audit,International Law Fundamentals,puma_law | purtc | pusc,alumni jurusan law berkarir sebagai corporate lawyer di makes   partners  ahli dalam compliance  contract drafting  dispute resolution
6618,Tia Sihombing,Management,2022,Employee Relations Specialist,Ruangguru,"Employee Relations, Talent Management, Recruiting",Employee Engagement Survey,"SHRM-CP (Certified Professional), PHR (Professional in Human Resources)",fpci | aiesec,seorang employee relations specialist lulusan management dengan pengalaman di ruangguru dan sertifikasi shrm cp  certified professional   phr  professional in human resources
6619,Vina Suteja,Management,2019,HR Business Partner,JobStreet,"Strategic Planning, Payroll Administration, HRIS",Performance Appraisal System Design,"Lean Six Sigma Yellow Belt, SHRM-CP (Certified Professional)",pufa_business | moot_court,seorang hr business partner lulusan management dengan pengalaman di jobstreet dan sertifikasi lean six sigma yellow belt  shrm cp  certified professional
6620,Putri Sari,Creative Media,2021,Video Editor,Traveloka,"Cinematography, Storytelling, Sound Design",Podcast Series Production,"Adobe Premiere Pro Certified, Cinematography Fundamentals",puma_creative_media,profesional creative media dengan spesialisasi cinematography  storytelling  sound design dan pengalaman proyek podcast series production
6621,Siti Saputra,Applied Mathematics,2015,Quantitative Researcher,Unilever,"Python/R, Modeling, Statistical Inference",Logistics Route Optimization,Machine Learning (Stanford/Coursera),pufa_computer_science | fpci,alumni jurusan applied mathematics berkarir sebagai quantitative researcher di unilever  ahli dalam python r  modeling  statistical inference
6622,Eko Hakim,Mechanical Engineering,2017,Project Manager,Unilever,"Thermodynamics, Hydraulics, Prototyping",Engine Performance Test,FEA Software Proficiency,debate_club | pusc,karir di bidang project manager dengan latar belakang pendidikan mechanical engineering dan aktif di debate club   pusc
6623,Tia Suteja,Marketing,2019,Media Planner,Shopee,"A/B Testing, Google Analytics, Social Media Marketing",Conversion Rate Optimization,"Meta Certified Digital Marketing Associate, HubSpot Inbound Marketing",puma_marketing | accounting_club | pudc,profesional marketing dengan spesialisasi a b testing  google analytics  social media marketing dan pengalaman proyek conversion rate optimization
6624,Agus Anggraini,Actuarial Science,2020,Risk Analyst,Mayora,"Probability Theory, Data Analysis, R Programming",Solvency Risk Assessment,R for Data Science,pufa_business,seorang risk analyst lulusan actuarial science dengan pengalaman di mayora dan sertifikasi r for data science
6625,Dewi Nugroho,Chemical Engineering,2015,R&D Materials Scientist,Pertamina,"Process Control, Chemical Kinetics, Material Science",Heat Exchanger Network,"OSHA Process Safety Management (PSM), Chemical Engineering Thermodynamics",pufa_engineering | puma_chemical_engineering,alumni jurusan chemical engineering berkarir sebagai r d materials scientist di pertamina  ahli dalam process control  chemical kinetics  material science
6626,Lina Sihombing,Mechanical Engineering,2015,HVAC Engineer,Google Indonesia,"Hydraulics, SolidWorks, CATIA",3D Printing Prototype,SolidWorks Professional,puma_mechanical_engineering | fpci,alumni jurusan mechanical engineering berkarir sebagai hvac engineer di google indonesia  ahli dalam hydraulics  solidworks  catia
6627,Vina Hakim,Electrical Engineering,2020,IoT Developer,Astra International,"MATLAB, Circuit Design, PLC Programming",Smart Home System,"Certified Automation Professional (CAP), PLC Programming Fundamentals",puma_electrical_engineering | pumun,alumni jurusan electrical engineering berkarir sebagai iot developer di astra international  ahli dalam matlab  circuit design  plc programming
6628,Dewi Suteja,Communication,2023,Copywriter,Mayora,"Public Relations, Content Strategy, Crisis Management",Rebranding Campaign,"Meta Certified Professional, HubSpot Content Marketing",pufa_social_science_and_education,karir di bidang copywriter dengan latar belakang pendidikan communication dan aktif di pufa social science and education
6629,Yoga Saputra,Civil Engineering,2020,Construction Planner,Mayora,"Construction Safety, AutoCAD Civil 3D, Project Management",Road Infrastructure Planning,"Revit Structure Fundamentals, AutoCAD Civil 3D Certified",puma_civil_engineering | accounting_club | moot_court,alumni jurusan civil engineering berkarir sebagai construction planner di mayora  ahli dalam construction safety  autocad civil 3d  project management
6630,Agus Lestari,Management,2018,Employee Relations Specialist,Ruangguru,"Performance Management, Payroll Administration, Talent Management",HR Policy Review,Certified Associate in Project Management (CAPM),accounting_club | puma_management,karir di bidang employee relations specialist dengan latar belakang pendidikan management dan aktif di accounting club   puma management
6631,Vina Permana,Electrical Engineering,2016,Electrical Design Engineer,Tokopedia,"Circuit Design, SCADA, PCB Design",Smart Home System,"MATLAB Proficiency, Certified Automation Professional (CAP)",puma_electrical_engineering | purtc,seorang electrical design engineer lulusan electrical engineering dengan pengalaman di tokopedia dan sertifikasi matlab proficiency  certified automation professional  cap
6632,Agus Pasaribu,Financial Engineering,2022,Data Analyst (Finance),OJK,"Machine Learning, Financial Modeling, Python",High-Frequency Trading Bot,Bloomberg Market Concepts,pufa_business,profesional financial engineering dengan spesialisasi machine learning  financial modeling  python dan pengalaman proyek high frequency trading bot
6633,Putri Pasaribu,International Relations,2016,Foreign Affairs Correspondent,Shopee,"Negotiation, Geopolitics, Cross-Cultural Communication",Political Risk Assessment Report,Public Policy Analysis,pufa_social_science_and_education,seorang foreign affairs correspondent lulusan international relations dengan pengalaman di shopee dan sertifikasi public policy analysis
6634,Bayu Suteja,Financial Engineering,2019,Risk Manager,Djarum,"Python, Machine Learning, Stochastic Calculus",Portfolio Optimization Algorithm,"Bloomberg Market Concepts, FRM (Financial Risk Manager)",pufa_business,alumni jurusan financial engineering berkarir sebagai risk manager di djarum  ahli dalam python  machine learning  stochastic calculus
6635,Kartika Anggraini,Environmental Engineering,2020,Sustainability Specialist,Unilever,"EIA (Environmental Impact Assessment), Waste Management, GIS",Carbon Footprint Analysis,"GIS Fundamentals, OSHA 30-Hour General Industry",pufa_engineering | fpci,alumni jurusan environmental engineering berkarir sebagai sustainability specialist di unilever  ahli dalam eia  environmental impact assessment   waste management  gis
6636,Agus Gunawan,Business Administration,2022,Executive Assistant,Mayora,"Entrepreneurship, Business Strategy, CRM",Market Feasibility Study,"CAPM, Salesforce Administrator",pufa_business | debate_club | purtc,alumni jurusan business administration berkarir sebagai executive assistant di mayora  ahli dalam entrepreneurship  business strategy  crm
6637,Dewi Manullang,Financial Engineering,2017,Risk Manager,Traveloka,"Financial Modeling, Data Science, Python",Cryptocurrency Market Analysis,"Python for Finance, FRM (Financial Risk Manager)",pufa_business | accounting_club,karir di bidang risk manager dengan latar belakang pendidikan financial engineering dan aktif di pufa business   accounting club
6638,Rizky Ramadhan,Accounting,2021,Management Trainee Finance,Deloitte,"Audit, IFRS, Financial Reporting",Annual Financial Audit,CPA (Certified Public Accountant),pusc | pufa_business | purtc,karir di bidang management trainee finance dengan latar belakang pendidikan accounting dan aktif di pusc   pufa business   purtc
6639,Rizky Sihombing,Civil Engineering,2017,Construction Planner,Mayora,"AutoCAD Civil 3D, Estimation, Construction Safety",Green Building Design,"OSHA 30-Hour Construction, Revit Structure Fundamentals",pufa_engineering | accounting_club | moot_court,alumni jurusan civil engineering berkarir sebagai construction planner di mayora  ahli dalam autocad civil 3d  estimation  construction safety
6640,Mega Sihombing,Financial Engineering,2018,Risk Manager,Telkomsel,"C++, Python, Stochastic Calculus",High-Frequency Trading Bot,FRM (Financial Risk Manager),puma_financial_engineering,profesional financial engineering dengan spesialisasi c    python  stochastic calculus dan pengalaman proyek high frequency trading bot
6641,Joko Rahman,International Relations,2017,NGO Program Officer,Dentsu,"Cross-Cultural Communication, Diplomacy, Geopolitics",UN Model Simulation,Project Management for Development (PMD Pro),puma_international_relations | pudc | purtc,alumni jurusan international relations berkarir sebagai ngo program officer di dentsu  ahli dalam cross cultural communication  diplomacy  geopolitics
6642,Yoga Manullang,Accounting,2017,Tax Specialist,PwC,"Risk Management, Audit, Taxation",Cost Reduction Analysis,Data Analytics for Accounting Certificate,puma_accounting | debate_club,seorang tax specialist lulusan accounting dengan pengalaman di pwc dan sertifikasi data analytics for accounting certificate
6643,Nisa Lestari,Accounting,2022,Management Trainee Finance,Ernst & Young,"MYOB, Cost Accounting, Taxation",Tax Planning Compliance,"Certified Internal Auditor (CIA), QuickBooks ProAdvisor",pufa_business,karir di bidang management trainee finance dengan latar belakang pendidikan accounting dan aktif di pufa business
6644,Budi Manullang,Accounting,2021,Management Trainee Finance,KPMG,"MYOB, Financial Reporting, Cost Accounting",Internal Control Review,"Certified Internal Auditor (CIA), Data Analytics for Accounting Certificate",moot_court,karir di bidang management trainee finance dengan latar belakang pendidikan accounting dan aktif di moot court
6645,Lina Sihombing,Creative Media,2021,Film Producer,Unilever,"Storytelling, Scriptwriting, Video Production",Digital Ad Campaign Video,"Storytelling for Business, Adobe Premiere Pro Certified",puma_creative_media | moot_court | accounting_club,profesional creative media dengan spesialisasi storytelling  scriptwriting  video production dan pengalaman proyek digital ad campaign video
6646,Zara Firdaus,Management,2022,Operations Manager,Telkomsel,"Talent Management, Performance Management, Strategic Planning",Recruitment Strategy Optimization,"LinkedIn Recruiter Certification, Lean Six Sigma Yellow Belt",pufa_business | accounting_club,karir di bidang operations manager dengan latar belakang pendidikan management dan aktif di pufa business   accounting club
6647,Hani Ramadhan,Industrial Engineering,2019,Operations Analyst,Telkomsel,"Logistics, Six Sigma, Lean Manufacturing",Inventory Flow Analysis,"CSCP (Certified Supply Chain Professional), Lean Six Sigma Green Belt",fpci,alumni jurusan industrial engineering berkarir sebagai operations analyst di telkomsel  ahli dalam logistics  six sigma  lean manufacturing
6648,Kartika Saputra,Industrial Engineering,2022,Quality Manager,Shopee,"Lean Manufacturing, Logistics, Statistical Process Control",Supply Chain Network Design,"Lean Six Sigma Green Belt, Ergonomics Assessment Specialist",pufa_engineering | puma_industrial_engineering,karir di bidang quality manager dengan latar belakang pendidikan industrial engineering dan aktif di pufa engineering   puma industrial engineering
6649,Kartika Utama,Mechanical Engineering,2019,Maintenance Engineer,Google Indonesia,"AutoCAD, Prototyping, Finite Element Analysis",Engine Performance Test,Six Sigma Yellow Belt,puma_mechanical_engineering | fpci | purtc,profesional mechanical engineering dengan spesialisasi autocad  prototyping  finite element analysis dan pengalaman proyek engine performance test
6650,Bayu Utama,Financial Engineering,2016,Quantitative Analyst,Shopee,"Data Science, Machine Learning, Stochastic Calculus",Credit Risk Simulation,"FRM (Financial Risk Manager), Bloomberg Market Concepts",purtc | pusc | pumun,alumni jurusan financial engineering berkarir sebagai quantitative analyst di shopee  ahli dalam data science  machine learning  stochastic calculus
6651,Bayu Ramadhan,Environmental Engineering,2021,HSR Manager,Unilever,"Waste Management, Compliance, GIS",Water Treatment Plant Design,"OSHA 30-Hour General Industry, NEBOSH International Certificate",puma_environmental_engineering | purtc,karir di bidang hsr manager dengan latar belakang pendidikan environmental engineering dan aktif di puma environmental engineering   purtc
6652,Cahya Firdaus,Environmental Engineering,2019,Environmental Auditor,Deloitte,"Waste Management, EIA (Environmental Impact Assessment), HSE Standards",Waste-to-Energy Feasibility Study,"OSHA 30-Hour General Industry, HSE Training Certificate",pufa_engineering | pumun | aiesec,alumni jurusan environmental engineering berkarir sebagai environmental auditor di deloitte  ahli dalam waste management  eia  environmental impact assessment   hse standards
6653,Yoga Anggraini,Industrial Engineering,2020,Supply Chain Analyst,Unilever,"Simulation (Arena), System Modeling, Statistical Process Control",Value Stream Mapping,Certified Quality Engineer (CQE),pufa_engineering,seorang supply chain analyst lulusan industrial engineering dengan pengalaman di unilever dan sertifikasi certified quality engineer  cqe
6654,Hani Firdaus,Industrial Engineering,2021,Ergonomist,Telkomsel,"Six Sigma, Lean Manufacturing, Statistical Process Control",Supply Chain Network Design,"Lean Six Sigma Green Belt, CSCP (Certified Supply Chain Professional)",fpci,alumni jurusan industrial engineering berkarir sebagai ergonomist di telkomsel  ahli dalam six sigma  lean manufacturing  statistical process control
6655,Dewi Nugroho,Environmental Engineering,2022,Enviromental Planner,Telkomsel,"GIS, EIA (Environmental Impact Assessment), Waste Management",Site Contamination Assessment,"HSE Training Certificate, ISO 14001 Lead Auditor",puma_environmental_engineering | moot_court,alumni jurusan environmental engineering berkarir sebagai enviromental planner di telkomsel  ahli dalam gis  eia  environmental impact assessment   waste management
6656,Putri Wibowo,Law,2018,Legal Counsel,KPK,"Regulatory Analysis, Dispute Resolution, Moot Court",Regulatory Compliance Audit,Compliance Training Certificate,pumun | debate_club | purtc,karir di bidang legal counsel dengan latar belakang pendidikan law dan aktif di pumun   debate club   purtc
6657,Joko Mahendra,Electrical Engineering,2021,R&D Electronics,Mayora,"PCB Design, Microcontroller Programming, Circuit Design",Smart Home System,Certified Automation Professional (CAP),puma_electrical_engineering,alumni jurusan electrical engineering berkarir sebagai r d electronics di mayora  ahli dalam pcb design  microcontroller programming  circuit design
6658,Agus Permana,Creative Media,2020,Film Producer,Ogilvy Indonesia,"Animation, Storytelling, Adobe Premiere Pro",Corporate Documentary,Cinematography Fundamentals,puma_creative_media | debate_club,alumni jurusan creative media berkarir sebagai film producer di ogilvy indonesia  ahli dalam animation  storytelling  adobe premiere pro
6659,Citra Hakim,Electrical Engineering,2020,Power System Engineer,Schneider Electric,"PCB Design, SCADA, Power Generation",Smart Home System,"Certified Automation Professional (CAP), MATLAB Proficiency",puma_electrical_engineering,karir di bidang power system engineer dengan latar belakang pendidikan electrical engineering dan aktif di puma electrical engineering
6660,Fitri Saputra,Accounting,2022,Management Trainee Finance,PwC,"IFRS, MYOB, Taxation",Cost Reduction Analysis,ACCA - Foundational Level,puma_accounting | debate_club | aiesec,seorang management trainee finance lulusan accounting dengan pengalaman di pwc dan sertifikasi acca   foundational level
6661,Tia Nugroho,Actuarial Science,2017,Risk Analyst,Ruangguru,"Statistics, Financial Math, Probability Theory",Time Series Forecasting,Professional Risk Manager (PRM),aiesec | debate_club | pufa_business,profesional actuarial science dengan spesialisasi statistics  financial math  probability theory dan pengalaman proyek time series forecasting
6662,Putri Firdaus,Primary School Teacher Education,2015,Special Education Teacher,Sekolah Pelita Harapan,"Classroom Management, Educational Leadership, Child Psychology",Inclusive Classroom Setup,Child Protection Training,puma_primary_school_teacher_education,profesional primary school teacher education dengan spesialisasi classroom management  educational leadership  child psychology dan pengalaman proyek inclusive classroom setup
6663,Tia Sihombing,Mechanical Engineering,2022,Design Engineer,Schneider Electric,"Thermodynamics, Hydraulics, CATIA",Quality Assurance System,"SolidWorks Professional, FEA Software Proficiency",pufa_engineering | pusc | moot_court,karir di bidang design engineer dengan latar belakang pendidikan mechanical engineering dan aktif di pufa engineering   pusc   moot court
6664,Eko Saputra,International Relations,2021,Diplomat,Unilever,"Negotiation, Geopolitics, Diplomacy",Political Risk Assessment Report,Conflict Resolution & Mediation,puma_international_relations | moot_court | purtc,karir di bidang diplomat dengan latar belakang pendidikan international relations dan aktif di puma international relations   moot court   purtc
6665,Vina Manullang,Marketing,2023,Social Media Manager,Unilever,"SEO/SEM, Google Analytics, A/B Testing",Market Segmentation Study,Google Ads,pufa_business | moot_court | accounting_club,seorang social media manager lulusan marketing dengan pengalaman di unilever dan sertifikasi google ads
6666,Vina Hakim,Environmental Engineering,2019,Water Quality Engineer,Pertamina,"Waste Management, GIS, Water Treatment",Waste-to-Energy Feasibility Study,"OSHA 30-Hour General Industry, NEBOSH International Certificate",pufa_engineering | pudc,alumni jurusan environmental engineering berkarir sebagai water quality engineer di pertamina  ahli dalam waste management  gis  water treatment
6667,Fitri Nugroho,Environmental Engineering,2021,HSR Manager,Shopee,"Water Treatment, Waste Management, HSE Standards",Carbon Footprint Analysis,"GIS Fundamentals, NEBOSH International Certificate",pufa_engineering,seorang hsr manager lulusan environmental engineering dengan pengalaman di shopee dan sertifikasi gis fundamentals  nebosh international certificate
6668,Eko Anggraini,Primary School Teacher Education,2022,School Principal,Dentsu,"Classroom Management, Pedagogy, Teaching Methods",Inclusive Classroom Setup,Child Protection Training,puma_primary_school_teacher_education,karir di bidang school principal dengan latar belakang pendidikan primary school teacher education dan aktif di puma primary school teacher education
6669,Rizky Suteja,Chemical Engineering,2018,Food and Pharmaceutical Engineer,Google Indonesia,"Process Control, Process Simulation, Aspen HYSYS",Heat Exchanger Network,OSHA Process Safety Management (PSM),fpci | pusc,alumni jurusan chemical engineering berkarir sebagai food and pharmaceutical engineer di google indonesia  ahli dalam process control  process simulation  aspen hysys
6670,Cahya Mahendra,Law,2020,Corporate Lawyer,Makes & Partners,"Legal Writing, Moot Court, Regulatory Analysis",Regulatory Compliance Audit,"Certified Information Privacy Professional (CIPP), Legal Research & Writing Certificate",debate_club | aiesec,profesional law dengan spesialisasi legal writing  moot court  regulatory analysis dan pengalaman proyek regulatory compliance audit
